district,borough,Category,Offense,felony_count
27,Queens,FELONY,RAPE,85
27,Queens,FELONY,ROBBERY,427
27,Queens,FELONY,SEX CRIMES,60
27,Queens,FELONY,THEFT-FRAUD,201
28,Queens,FELONY,THEFT-FRAUD,1
28,Queens,FELONY,ARSON,23
28,Queens,FELONY,BURGLARY,258
28,Queens,FELONY,CRIMINAL MISCHIEF & RELATED OF,405
28,Queens,FELONY,DANGEROUS DRUGS,147
28,Queens,FELONY,DANGEROUS WEAPONS,136
28,Queens,FELONY,FELONY ASSAULT,624
28,Queens,FELONY,FORGERY,144
28,Queens,FELONY,GRAND LARCENY,980
28,Queens,FELONY,GRAND LARCENY OF MOTOR VEHICLE,194
28,Queens,FELONY,"HOMICIDE-NEGLIGENT,UNCLASSIFIE",1
28,Queens,FELONY,KIDNAPPING & RELATED OFFENSES,9
28,Queens,FELONY,MISCELLANEOUS PENAL LAW,478
28,Queens,FELONY,NYS LAWS-UNCLASSIFIED FELONY,14
28,Queens,FELONY,OTHER STATE LAWS (NON PENAL LA,1
28,Queens,FELONY,POSSESSION OF STOLEN PROPERTY,26
28,Queens,FELONY,PROSTITUTION & RELATED OFFENSES,3
28,Queens,FELONY,RAPE,45
28,Queens,FELONY,ROBBERY,374
28,Queens,FELONY,SEX CRIMES,35
28,Queens,FELONY,THEFT-FRAUD,152
29,Queens,FELONY,ARSON,18
29,Queens,FELONY,BURGLARY,352
29,Queens,FELONY,CRIMINAL MISCHIEF & RELATED OF,513
29,Queens,FELONY,DANGEROUS DRUGS,60
29,Queens,FELONY,DANGEROUS WEAPONS,103
29,Queens,FELONY,FELONY ASSAULT,686
29,Queens,FELONY,FORGERY,148
29,Queens,FELONY,GRAND LARCENY,964
29,Queens,FELONY,GRAND LARCENY OF MOTOR VEHICLE,299
29,Queens,FELONY,KIDNAPPING & RELATED OFFENSES,1
29,Queens,FELONY,MISCELLANEOUS PENAL LAW,571
29,Queens,FELONY,NYS LAWS-UNCLASSIFIED FELONY,8
29,Queens,FELONY,OTHER STATE LAWS (NON PENAL LA,1
29,Queens,FELONY,POSSESSION OF STOLEN PROPERTY,34
29,Queens,FELONY,PROSTITUTION & RELATED OFFENSES,2
29,Queens,FELONY,RAPE,56
29,Queens,FELONY,ROBBERY,374
29,Queens,FELONY,SEX CRIMES,51
29,Queens,FELONY,THEFT-FRAUD,121
30,Queens,FELONY,GRAND LARCENY,1
30,Queens,FELONY,SEX CRIMES,1
30,Queens,FELONY,ARSON,13
30,Queens,FELONY,BURGLARY,332
30,Queens,FELONY,CRIMINAL MISCHIEF & RELATED OF,453
30,Queens,FELONY,DANGEROUS DRUGS,165
30,Queens,FELONY,DANGEROUS WEAPONS,119
30,Queens,FELONY,FELONY ASSAULT,681
30,Queens,FELONY,FELONY SEX CRIMES,1
30,Queens,FELONY,FORGERY,176
30,Queens,FELONY,GRAND LARCENY,1537
30,Queens,FELONY,GRAND LARCENY OF MOTOR VEHICLE,291
30,Queens,FELONY,KIDNAPPING,1
30,Queens,FELONY,KIDNAPPING & RELATED OFFENSES,9
30,Queens,FELONY,MISCELLANEOUS PENAL LAW,593
30,Queens,FELONY,NYS LAWS-UNCLASSIFIED FELONY,16
30,Queens,FELONY,POSSESSION OF STOLEN PROPERTY,39
30,Queens,FELONY,RAPE,95
30,Queens,FELONY,ROBBERY,400
30,Queens,FELONY,SEX CRIMES,84
30,Queens,FELONY,THEFT-FRAUD,148
31,Staten Island,FELONY,GRAND LARCENY,1
31,Staten Island,FELONY,ARSON,1
31,Staten Island,FELONY,ARSON,33
31,Staten Island,FELONY,BURGLARY,281
31,Staten Island,FELONY,CHILD ABANDONMENT/NON SUPPORT,1
31,Staten Island,FELONY,CRIMINAL MISCHIEF & RELATED OF,498
31,Staten Island,FELONY,DANGEROUS DRUGS,212
31,Staten Island,FELONY,DANGEROUS WEAPONS,169
31,Staten Island,FELONY,ENDAN WELFARE INCOMP,3
31,Staten Island,FELONY,FELONY ASSAULT,616
31,Staten Island,FELONY,FELONY SEX CRIMES,2
31,Staten Island,FELONY,FORGERY,101
31,Staten Island,FELONY,GRAND LARCENY,1044
31,Staten Island,FELONY,GRAND LARCENY OF MOTOR VEHICLE,177
31,Staten Island,FELONY,"HOMICIDE-NEGLIGENT,UNCLASSIFIE",1
31,Staten Island,FELONY,KIDNAPPING,2
31,Staten Island,FELONY,KIDNAPPING & RELATED OFFENSES,2
31,Staten Island,FELONY,MISCELLANEOUS PENAL LAW,878
31,Staten Island,FELONY,NYS LAWS-UNCLASSIFIED FELONY,62
31,Staten Island,FELONY,OTHER STATE LAWS (NON PENAL LA,11
31,Staten Island,FELONY,POSSESSION OF STOLEN PROPERTY,26
31,Staten Island,FELONY,RAPE,54
31,Staten Island,FELONY,ROBBERY,227
31,Staten Island,FELONY,SEX CRIMES,56
31,Staten Island,FELONY,THEFT-FRAUD,221
32,Brooklyn,FELONY,ARSON,12
32,Brooklyn,FELONY,BURGLARY,238
32,Brooklyn,FELONY,CHILD ABANDONMENT/NON SUPPORT,1
32,Brooklyn,FELONY,CRIMINAL MISCHIEF & RELATED OF,128
32,Brooklyn,FELONY,DANGEROUS DRUGS,104
32,Brooklyn,FELONY,DANGEROUS WEAPONS,38
32,Brooklyn,FELONY,FELONY ASSAULT,342
32,Brooklyn,FELONY,FORGERY,47
32,Brooklyn,FELONY,GRAND LARCENY,524
32,Brooklyn,FELONY,GRAND LARCENY OF MOTOR VEHICLE,112
32,Brooklyn,FELONY,MISCELLANEOUS PENAL LAW,189
32,Brooklyn,FELONY,NYS LAWS-UNCLASSIFIED FELONY,10
32,Brooklyn,FELONY,POSSESSION OF STOLEN PROPERTY,5
32,Brooklyn,FELONY,RAPE,31
32,Brooklyn,FELONY,ROBBERY,254
32,Brooklyn,FELONY,SEX CRIMES,33
32,Brooklyn,FELONY,THEFT-FRAUD,57
32,Brooklyn,FELONY,GRAND LARCENY,1
32,Brooklyn,FELONY,ROBBERY,3
